time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-11-22T06:02:42.540Z,51.6976,-131.0657,10,4.5,mwr,,,,0.99,us,us100040a1,2016-02-18T04:48:48.040Z,"295 km S of Prince Rupert, Canada",earthquake,8.6,2,,,reviewed,pgc,pgc
2015-10-22T23:07:38.970Z,50.8008,-129.9621,10,5.1,mww,,139,1.173,0.94,us,us10003qur,2016-11-10T21:56:54.404Z,"204 km W of Port McNeill, Canada",earthquake,5.1,1.9,,,reviewed,us,us
2015-09-24T13:48:58.480Z,50.7832,-130.2084,10,5.7,mww,,77,1.326,1.39,us,us20003nmz,2016-11-10T21:53:33.894Z,"221 km W of Port McNeill, Canada",earthquake,2.8,1.8,,,reviewed,us,us
2015-09-22T13:24:50.520Z,50.3258,-130.2273,10,4.7,mwr,,162,1.374,0.93,us,us20003mvq,2016-11-10T21:53:22.101Z,"224 km W of Port McNeill, Canada",earthquake,5.3,2,,,reviewed,us,pgc
2015-09-19T21:50:31.150Z,49.4227,-129.6481,10,4.8,mwr,,164,1.561,0.83,us,us20003m0m,2016-11-10T21:52:55.440Z,"224 km SW of Port McNeill, Canada",earthquake,6.4,1.9,,,reviewed,us,pgc
2015-09-08T09:38:04.180Z,50.7444,-130.1086,13.97,4.5,mwr,,165,1.26,1.33,us,us20003h7l,2015-12-05T01:40:36.040Z,"214 km W of Port McNeill, Canada",earthquake,7.5,6.4,,,reviewed,us,pgc
2015-08-17T07:58:32.420Z,49.0289,-128.6959,24.08,4.7,mwr,,152,1.271,0.89,us,us100032sm,2015-11-17T00:13:33.040Z,"202 km SW of Vernon, Canada",earthquake,6.8,5.3,,,reviewed,us,pgc
2015-07-30T00:31:03.670Z,50.5581,-130.0918,10,5,mwr,,,,0.92,us,us10002w8x,2015-10-30T02:47:36.040Z,"212 km W of Port McNeill, Canada",earthquake,5.5,1.8,,,reviewed,pgc,pgc
2015-04-24T14:09:32.480Z,51.6381,-130.894,21.37,4.6,mb,,165,1.504,1.24,us,us20002afg,2015-07-03T00:23:38.040Z,"290 km WNW of Port McNeill, Canada",earthquake,2.4,6.7,0.244,5,reviewed,us,us
2015-04-24T13:56:15.180Z,51.6148,-130.7714,8,6.2,mww,,69,1.743,1.24,us,us200028ue,2016-11-10T21:47:13.605Z,"282 km WNW of Port McNeill, Canada",earthquake,4.6,1.8,,,reviewed,us,us
2015-03-25T19:22:44.560Z,49.4154,-128.1719,13.08,5.1,mww,,100,2.773,0.68,us,us10001qpf,2021-02-24T23:04:21.992Z,"147 km WSW of Vernon, Canada",earthquake,6.7,4.2,,,reviewed,us,us
2015-03-08T20:42:15.680Z,49.0507,-128.8594,27.56,4.9,mwr,,152,3.173,1.1,us,usc000twl9,2015-05-28T00:48:38.040Z,"210 km WSW of Vernon, Canada",earthquake,7.6,5.8,,,reviewed,us,pgc
2015-03-04T08:35:07.120Z,50.2697,-129.92,8.65,5.1,mwr,,152,2.228,1.13,us,usc000tuv5,2015-05-19T00:30:00.040Z,"204 km W of Port McNeill, Canada",earthquake,8.3,4.4,,,reviewed,us,pgc
2015-01-25T21:10:12.050Z,52.5619,-131.9669,17.56,4.5,mwr,,,,0.76,us,usc000tiza,2015-04-24T16:55:33.040Z,"223 km SSW of Prince Rupert, Canada",earthquake,7.9,5.3,,,reviewed,pgc,pgc
2015-01-08T02:02:53.840Z,49.1709,-125.647,24.64,4.8,mww,,,,0.47,us,usc000td14,2021-02-24T23:02:49.390Z,"19 km E of Tofino, Canada",earthquake,3.3,3.8,,,reviewed,pgc,us
2015-01-04T01:49:55.840Z,50.579,-130.454,10,4.5,mwr,,,,1.39,us,usc000tbip,2015-03-27T07:01:35.040Z,"238 km W of Port McNeill, Canada",earthquake,5.3,1.5,,,reviewed,pgc,pgc
2015-01-02T10:15:34.380Z,50.8632,-130.3654,10,5.4,mwr,,76,1.523,1.33,us,usc000tb91,2016-11-10T21:45:58.811Z,"233 km W of Port McNeill, Canada",earthquake,6,1.8,,,reviewed,us,pgc
2014-12-30T12:57:22.770Z,51.3227,-131.2469,10,4.5,mwr,,,,1.67,us,usc000tas9,2015-03-17T02:38:08.040Z,"Haida Gwaii Region, Canada",earthquake,8.1,6.9,,,reviewed,pgc,pgc
2014-12-22T21:01:06.380Z,50.9022,-130.1266,10,4.6,mwr,,173,1.293,1.45,us,usc000t97l,2015-03-06T02:59:11.040Z,"217 km W of Port McNeill, Canada",earthquake,6.5,2,,,reviewed,us,pgc
2014-12-22T06:51:37.410Z,50.746,-130.525,10,4.5,mwr,,,,1.14,us,usc000t91d,2015-03-06T02:59:09.040Z,"243 km W of Port McNeill, Canada",earthquake,9.8,2,,,reviewed,pgc,pgc
2014-12-21T10:45:44.220Z,51.0327,-130.2433,10,4.7,mwr,,,,1.03,us,usc000t8vh,2015-03-06T02:59:07.040Z,"227 km WNW of Port McNeill, Canada",earthquake,5.9,1.9,,,reviewed,pgc,pgc
2014-12-21T09:40:47.000Z,50.79,-130.52,10,5.2,mwr,,,,1.11,us,usc000t8vb,2015-03-06T02:59:07.040Z,"243 km W of Port McNeill, Canada",earthquake,3.8,1.9,,,reviewed,pgc,pgc
2014-12-21T02:57:38.130Z,50.959,-130.194,10,5.2,mwr,,,,0.75,us,usc000t8tf,2015-03-06T02:59:06.040Z,"222 km W of Port McNeill, Canada",earthquake,5,1.9,,,reviewed,pgc,pgc
2014-12-20T22:54:28.420Z,50.7361,-130.4872,10,4.7,mwr,,,,1.47,us,usc000t8s0,2015-03-06T02:59:06.040Z,"240 km W of Port McNeill, Canada",earthquake,6.7,1.9,,,reviewed,pgc,pgc
2014-12-12T06:08:09.310Z,48.8697,-129.2989,10,4.7,mwr,,,,0.99,us,usc000t5vm,2015-03-04T21:54:59.040Z,"248 km WSW of Vernon, Canada",earthquake,5.5,2.3,,,reviewed,pgc,pgc
2014-09-27T21:05:38.000Z,52.701,-132.309,23.3,4.7,mwr,,,,1.52,us,usb000sgs2,2014-12-20T00:54:00.040Z,"222 km SW of Prince Rupert, Canada",earthquake,5.7,1.8,,,reviewed,pgc,pgc
2014-09-10T16:36:43.150Z,50.677,-129.8483,10,4.9,mwr,,161,1.859,1.05,us,usb000sb4f,2014-12-08T23:30:56.040Z,"195 km W of Port McNeill, Canada",earthquake,8.7,1.9,,,reviewed,us,pgc
2014-08-18T08:17:44.470Z,50.498,-130.215,10,4.5,mwr,,,,1.57,us,usb000s3q3,2014-11-15T04:07:15.000Z,"221 km W of Port McNeill, Canada",earthquake,,1.9,,,reviewed,pgc,pgc
2014-08-12T07:00:22.410Z,50.546,-130.445,10,4.5,mwr,,,,1.8,us,usb000s22x,2014-11-07T21:47:41.000Z,"237 km W of Port McNeill, Canada",earthquake,,2,,,reviewed,pgc,pgc
2014-04-24T03:44:17.080Z,49.61,-127.826,10,4.8,mwr,,,,0.98,us,usb000px7j,2021-02-24T23:03:10.817Z,"115 km WSW of Vernon, Canada",earthquake,,1.9,,,reviewed,pgc,pgc
2014-04-24T03:40:56.820Z,49.5441,-127.7877,10,4.7,mwr,,,,1.05,us,usb000px7e,2015-01-30T18:40:31.395Z,"115 km WSW of Vernon, Canada",earthquake,,1.9,,,reviewed,pgc,pgc
2014-04-24T03:10:10.150Z,49.6388,-127.7316,10,6.5,mww,,,,0.85,us,usb000px6r,2019-02-23T21:08:29.308Z,"107 km WSW of Vernon, Canada",earthquake,,1.7,,,reviewed,pgc,us
2014-04-01T05:05:57.990Z,49.2167,-129.2085,10,4.7,mwr,,149,1.325,1.24,us,usc000nycn,2014-05-29T23:32:12.000Z,"215 km SW of Port McNeill, Canada",earthquake,,1.2,0.065,23,reviewed,us,us
2014-02-16T00:19:20.000Z,50.421,-130.262,10,4.5,mwr,,,,1.7,us,usc000mrdf,2014-04-30T21:18:22.000Z,"226 km W of Port McNeill, Canada",earthquake,,1.9,,,reviewed,pgc,pgc
2013-12-15T18:11:47.540Z,49.2634,-127.811,5,4.6,mwr,,138,0.868,1.44,us,usc000ll77,2021-02-24T23:00:40.083Z,"134 km SW of Vernon, Canada",earthquake,,1.8,,,reviewed,us,pgc
2013-11-08T11:44:56.150Z,50.039,-130.1887,10,5,mwr,,,,0.97,us,usb000kumz,2014-01-17T00:29:13.000Z,"229 km WSW of Port McNeill, Canada",earthquake,,1.9,,,reviewed,pgc,pgc
2013-09-18T04:45:36.890Z,52.7369,-132.2193,22.3,4.5,mwr,,,,1.82,us,usb000jxpl,2013-12-09T21:11:08.000Z,"216 km SW of Prince Rupert, Canada",earthquake,,1.9,,,reviewed,pgc,pgc
2013-09-04T15:26:32.000Z,51.052,-130.56,10,4.6,mwr,,,,0.98,us,usb000jh7l,2013-11-15T03:20:24.000Z,"250 km W of Port McNeill, Canada",earthquake,,1.9,,,reviewed,us_pgc,us_pgc
2013-09-04T01:19:00.280Z,50.9472,-130.511,21.06,4.9,mwr,,92,1.54,1.25,us,usb000jghi,2013-11-15T03:20:23.000Z,"244 km W of Port McNeill, Canada",earthquake,,3.2,,,reviewed,us,us_pgc
2013-09-04T00:50:59.530Z,51.0921,-130.1497,10.25,4.6,mwr,,173,1.356,1.19,us,usb000jggv,2013-11-15T03:20:22.000Z,"222 km WNW of Port McNeill, Canada",earthquake,,3.1,,,reviewed,us,us_pgc
2013-09-04T00:23:11.290Z,51.1832,-130.2245,9.92,6,mww,,70,1.431,0.87,us,usb000jgfh,2013-11-15T03:20:22.000Z,"230 km WNW of Port McNeill, Canada",earthquake,,2.5,,,reviewed,us,us
2013-09-03T23:07:08.410Z,51.186,-130.4766,10.02,4.7,mwr,,149,1.6,1.21,us,usb000jgdk,2013-11-15T03:20:22.000Z,"247 km WNW of Port McNeill, Canada",earthquake,,2.9,,,reviewed,us,us_pgc
2013-09-03T22:29:31.110Z,51.3277,-130.2195,9.85,5.5,mwr,,140,1.565,1.22,us,usb000jgci,2013-11-15T03:59:43.471Z,"234 km WNW of Port McNeill, Canada",earthquake,,2.7,,,reviewed,us,us_pgc
2013-09-03T21:25:16.510Z,51.2548,-130.2999,10.15,5.1,mwr,,149,1.503,1.38,us,usb000jg9e,2013-11-15T03:20:22.000Z,"237 km WNW of Port McNeill, Canada",earthquake,,2.7,0.063,,reviewed,us,us
2013-09-03T21:05:56.670Z,51.2359,-130.1714,14.84,4.5,mb,,149,1.421,1.24,us,usb000jg8d,2013-11-15T03:20:22.000Z,"228 km WNW of Port McNeill, Canada",earthquake,,5.5,0.055,,reviewed,us,us
2013-09-03T20:19:06.340Z,51.244,-130.3971,2.73,6.1,mww,,44,1.704,0.93,us,usb000jg6b,2015-01-30T12:23:51.580Z,"243 km WNW of Port McNeill, Canada",earthquake,,3.7,,,reviewed,us,us
2013-08-04T13:22:27.640Z,49.6614,-127.4286,10,5.5,mwb,,33,2.563,0.69,us,usb000iv7t,2021-02-24T23:06:52.672Z,"86 km WSW of Vernon, Canada",earthquake,,1.7,0.071,,reviewed,us,us
2013-07-27T19:11:01.580Z,50.325,-129.99,21.5,4.6,mwr,128,145,,1.15,us,usc000iqr5,2014-11-07T01:51:20.702Z,"208 km W of Port McNeill, Canada",earthquake,,6.9,,,reviewed,us,pgc
